id_hex,id_estab,total_2017,input_2017,total_2018,input_2018,razao_social
89a8a06a013ffff,04075351000112,13,rais_2017,10,rais_2017,ATHA CONSULTORIA EMPRESARIAL LTDA
89a8a06a013ffff,04080421000120,,,1508,new_estab_2018,BRAVSEC SERVICOS AUXILIARES DE TRANSPORTE AE
89a8a06a013ffff,04163397000193,14,rais_2017,11,cep_changed_2018,GARDIEN PARQUEAMENTOS E SERVICOS SC LTDA
89a8a06a013ffff,04169179000166,14,rais_2017,16,rais_2017,EMPORIO LUSITANO LTDA
89a8a06a013ffff,04179994000106,,,2,new_estab_2018,BANKRIO CORRETORA DE SEGUROS LTDA ME
89a8a06a013ffff,04310920000167,1,rais_2017,,,
89a8a06a013ffff,04351954000523,4,rais_2017,2,rais_2017,MEGAWORK CONSULTORIA E SISTEMAS LTDA
89a8a06a013ffff,04458433000146,1,rais_2017,1,rais_2017,SANTOS DUMONT BUSINESS OFFICE LTDA
89a8a06a013ffff,04578876002114,10,rais_2017,2,rais_2017,ROBERTA NASCIMENTO ADVOGADOS ASSOCIADOS NAA
89a8a06a013ffff,04592413000163,2,rais_2017,,,
89a8a06a013ffff,04627769000195,20,rais_2017,18,rais_2017,INSTITUTO DO VAREJO
89a8a06a013ffff,04643750000132,2,rais_2017,2,rais_2017,SERRAO MARINHO ORTOPEDIA EIRELI
89a8a06a013ffff,04678301000200,9,rais_2017,3,rais_2017,DBS IT CONSULTORIA EM INFORMATICA LTDA
89a8a06a013ffff,04698481000101,21,rais_2017,15,rais_2017,3ELOS INFORMATICA LTDA EPP
89a8a06a013ffff,04757968000118,10,rais_2017,8,rais_2017,OM BRANDS LICENCIAMENTOS LTDA
89a8a06a013ffff,04768956000199,1,rais_2017,,,
89a8a06a013ffff,04779776000102,19,rais_2017,19,rais_2017,WGA SERVICOS CONTABEIS
89a8a06a013ffff,04779908000104,1,rais_2017,1,rais_2017,MARTINS & BESSI ADVOGADOS ASSOCIADOS
89a8a06a013ffff,04790210000181,8,rais_2017,8,rais_2017,M2G PERICIAS E ASSESSORIA EMPRESARIAL LTDA
89a8a06a013ffff,04823692000129,2,rais_2017,2,rais_2017,BELO RIO COPIAS LTDA
89a8a06a013ffff,04848205000344,3,rais_2017,,,
89a8a06a013ffff,04853237000176,6,rais_2017,7,rais_2017,LONDON OFFSHORE CONSULTANTS BRASIL LTDA
89a8a06a013ffff,04853355000184,1,rais_2017,1,rais_2017,MASSARU PARTICIPACOES E EMPREENDIMENTOS LTDA
89a8a06a013ffff,04856679000176,2,rais_2017,2,rais_2017,PRO UROLOGICO LTDA
89a8a06a013ffff,04916668000134,2,rais_2017,2,rais_2017,ORLINDO ELIAS FILHO ADVOGADOS ASSOCIADOS
89a8a06a013ffff,04949761000145,5,rais_2017,5,rais_2017,MENDES DE ALMEIDA ADVOGADOS
89a8a06a013ffff,04949766000178,3,rais_2017,3,rais_2017,CELF CONSULTORIA EMPRESARIAL L.F.LTDA
89a8a06a013ffff,04949811000194,1,rais_2017,1,rais_2017,THOME TORRES & LABANCA ADVOGADOS EPP
89a8a06a013ffff,04972359000181,5,rais_2017,4,rais_2017,CH APOIO ADMINISTRATIVO LTDA ME
89a8a06a013ffff,04986359000130,2,rais_2017,2,rais_2017,ESCRIT DE ADVOCACIA FERNANDO SETEMBRINO
89a8a06a013ffff,04992358000107,1,rais_2017,,,
89a8a06a013ffff,05021674000196,165,rais_2017,159,rais_2017,FUNDACAO DE SERVICOS DE DEFESA E TECNOLOGIAS
89a8a06a013ffff,05022697000115,5,rais_2017,4,rais_2017,MILHAS SERVICOS MEDICO LTDA ME
89a8a06a013ffff,05027195009648,7,rais_2017,7,rais_2017,ZINZANE COMERCIO E CONFECCAO DE VESTUARIO LTD
89a8a06a013ffff,05040680000190,8,rais_2017,7,rais_2017,COOPDE CREDITO DOS MAGISTDO ESTRJ MAGICREDI
89a8a06a013ffff,05042939000132,1,rais_2017,1,rais_2017,ROGERIO RABE ADVOGADOS ME
89a8a06a013ffff,05197932000190,41,rais_2017,40,rais_2017,HIGITECH SERVICOS DE ASSEIO E CONSERVACAO LTD
89a8a06a013ffff,05214413000192,20,rais_2017,21,rais_2017,FUNDACAO MIGUEL DE CERVANTES DE APOIO A PESQU
89a8a06a013ffff,05315289000151,15,rais_2017,10,rais_2017,RESTAURANTE XINRONG LTDA ME
89a8a06a013ffff,05317246000105,19,rais_2017,7,rais_2017,ARTHA CONSTRUCOES E PARTICIPACOES LTDA
